Type,Maker,Name,Release date,Android version,Resolution,Display (inches),Display (mm),System on Chip,RAM (MiB),Internal storage (GiB),MicroSD slot,Rear camera (Mpx),Front camera (Mpx),Networks,Connectivity,"Special features,
notes"
Smartphone,Sony,Xperia tipo,8/1/12,4,480x320 HVGA,3.2 in ,81 mm,Snapdragon S1 MSM7225A,512,2.5,Yes,3.15,,"- GSM/â€‹GPRS/â€‹EDGE 850, 900, 1800, 1900 MHz
   - UMTS/â€‹HSPA 850, 900, 1900, 2100 MHz","Bluetooth 2.1 +EDR, with A2DP; Wi-Fi 802.11b/g/n; Micro-USB v2.0; 3.5 mm 
audio jack",LED-backlit LCD
Smartphone,Sony,Xperia Miro,8/1/12,4,480x320 HVGA,3.5 in ,89 mm,Snapdragon S1 MSM7225A,512,4,Yes,5,,"- GSM/â€‹GPRS/â€‹EDGE 850, 900, 1800, 1900 MHz
   - UMTS/â€‹HSPA 850, 900, 1900, 2100 MHz","Bluetooth 2.1 +EDR, with A2DP; Wi-Fi 802.11b/g/n; Micro-USB v2.0; 3.5 mm 
audio jack",LED-backlit LCD
Smartphone,Sony,Xperia E,3/1/13,4.1,480x320 HVGA,3.5 in ,89 mm,Snapdragon S1 MSM7227A,512,2.5,Yes,3.15,,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/1900 MHz
   - UMTS/â€‹HSPA 850/900, 1900/2100 MHz","Bluetooth 2.1 with A2DP and EDR, Wi-Fi 802.11b/g/n, Micro-USB v2.0, 3.5 mm 
audio jack",LED-backlit LCD
Smartphone,Sony,Xperia Neo L,5/1/12,4,854x480 FWVGA,4.0 in ,100 mm,Snapdragon S2 MSM8255,512,0.3,Yes,5,,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/1900 MHz
   - UMTS/â€‹HSPA 850/900, 1900/2100 MHz","Bluetooth 2.1 with A2DP and EDR, Wi-Fi 802.11b/g/n, Wi-Fi hotspot, DLNA, 
Micro-USB v2.0, 3.5 mm audio jack",LED-backlit LCD with Sony Bravia Engine
Smartphone,Sony,Xperia go,7/1/12,"2.3, planned upgrade to 4.0",480x320 HVGA,3.5 in ,89 mm,NovaThor U8500,512,8,Yes,5,,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/1900 MHz
   - UMTS/â€‹HSPA 850/900, 1900/2100 MHz","Bluetooth 2.1 +EDR, with A2DP; Wi-Fi 802.11b/g/n, Wi-Fi hotspot; USB 2.0 
via Micro-USB; 3.5 mm audio jack","LED-backlit LCD, with Sony Bravia Engine"
Smartphone,Sony,Xperia sola,5/1/12,"2.3, upgradeable to 4.0",854x480 FWVGA,3.7 in ,94 mm,NovaThor U8500,512,8,Yes,5,,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/1900 MHz
   - UMTS/â€‹HSPA 850/900, 1900/2100 MHz","Bluetooth 2.1 +EDR, with A2DP; Wi-Fi 802.11b/g/n, Wi-Fi hotspot; USB 2.0 
via Micro-USB; 3.5 mm audio jack","LED-backlit LCD with Sony Bravia Engine, First phone with Floating Touch 
Technology"
Smartphone,Sony,Xperia U,5/1/12,"2.3, upgradeable to 4.0",854x480 FWVGA,3.5 in ,89 mm,NovaThor U8500,512,8,,5,,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/1900 MHz
   - UMTS/â€‹HSPA 850/900, 1900/2100 MHz","Bluetooth 2.1 EDR, with A2DP; Wi-Fi 802.11b/g/n, Wi-Fi hotspot; USB 2.0 via 
Micro-USB, USB On-the-go; 3.5 mm audio jack",LED-backlit LCD with Sony Bravia Engine
Smartphone,Sony,Xperia P,5/1/12,"2.3, upgradeable to 4.1",960x540 qHD,4.0 in ,100 mm,NovaThor U8500,1024,16,,8,,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/1900 MHz
   - UMTS/â€‹HSPA 850/900, 1900/2100 MHz","Bluetooth 2.1 +EDR, with A2DP; Wi-Fi 802.11b/g/n, Wi-Fi hotspot; USB 2.0 
via Micro-USB, USB On-the-go; 3.5 mm audio jack, NFC, HDMI",LED-backlit LCD with Sony Bravia Engine and Sony WhiteMagic Technology
Smartphone,Sony,Xperia ion LTE,6/1/12,"2.3, upgradeable to 4.0",1280x720 HD,4.6 in ,120 mm,Snapdragon S3 MSM8660,1024,16,Yes,12,1.3,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/1900 MHz
   - UMTS/â€‹HSPA 850/900, 1900/2100 MHz","Bluetooth 2.1 +EDR, with A2DP; Wi-Fi 802.11b/g/n, Wi-Fi hotspot; USB 2.0 
via Micro-USB, USB On-the-go; 3.5 mm audio jack, NFC, HDMI","LED-backlit LCD with Sony Bravia Engine, For AT&T, 4G connectivity support"
Smartphone,Sony,Xperia acro S,8/1/12,4,HD 1280x720,4.3 in ,110 mm,Snapdragon S3 MSM8260,1024,16,Yes,12,1.3,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/1900 MHz
   - UMTS/â€‹HSPA 850/900, 1900/2100 MHz","Bluetooth 3.0 +EDR, with A2DP; Wi-Fi 802.11b/g/n, Wi-Fi hotspot; USB 2.0 
via Micro-USB, USB On-the-go; 3.5 mm audio jack, NFC, HDMI",LED-backlit LCD with Sony Bravia Engine
Smartphone,Sony,Xperia S,2/1/12,"2.3, upgradeable to 4.0, planned upgrade to 4.1",1280x720 HD,4.3 in ,110 mm,Snapdragon S3 MSM8260,1024,1.5,,1,1.3,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/1900 MHz
   - UMTS/â€‹HSPA 850/900, 1900/2100 MHz","Bluetooth 2.1 +EDR, with A2DP; Wi-Fi 802.11b/g/n, Wi-Fi hotspot; USB 2.0 
via Micro-USB, USB On-the-go; 3.5 mm audio jack, NFC, HDMI",LED-backlit LCD with Sony Bravia Engine
Smartphone,Sony,Xperia SL,9/1/12,"4.0, upgradeable to 4.1.2",HD 1280x720,4.3 in ,110 mm,Snapdragon S3 MSM8260,1024,1.5,,12,1.3,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/1900 MHz
   - UMTS/â€‹HSPA 850/900, 1900/2100 MHz","Bluetooth 2.1 +EDR, with A2DP; Wi-Fi 802.11b/g/n, Wi-Fi hotspot, Wi-Fi 
Direct; USB 2.0 via Micro-USB, USB On-the-go; 3.5 mm audio jack, NFC, HDMI",LED-backlit LCD with Sony Bravia Engine
Smartphone,Sony,Xperia J,10/1/12,"4.0, upgradeable to 4.1.2",854x480 FWVGA,4 in ,100 mm,Snapdragon S1 MSM7227A,512,4,Yes,5,0.3,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/1900 MHz
   - UMTS/â€‹HSPA 850/900, 1900/2100 MHz","Bluetooth 2.1 +EDR, with A2DP; Wi-Fi 802.11b/g/n, Wi-Fi hotspot; USB 2.0 
via Micro-USB; 3.5 mm audio jack",LED-backlit LCD with Sony Bravia Engine
Smartphone,Sony,Xperia V,9/1/12,"4.0, upgradeable to 4.1.2",1280x720 HD,4.3 in ,110 mm,Snapdragon S4 Plus MSM8960,1024,8,Yes,13,1.3,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/1900 MHz
   - UMTS/â€‹HSPA 850/900, 1900/2100 MHz","Bluetooth 2.1 +EDR, with A2DP; Wi-Fi 802.11b/g/n, Wi-Fi hotspot, Wi-Fi 
Direct; USB 2.0 via Micro-USB, USB On-the-go; 3.5 mm audio jack, NFC, HDMI","LED-backlit LCD with Sony Bravia Engine, IP57 certified - dust- and 
water-resistant, waterproof up to 1 meter and 30 minutes"
Smartphone,Sony,Xperia T,9/1/12,"4.0, upgradeable to 4.1.2",1280x720 HD,4.6 in ,120 mm,Snapdragon S4 Plus MSM8260A,1024,16,Yes,13,1.3,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/1900 MHz
   - UMTS/â€‹HSPA 850/900, 1900/2100 MHz","Bluetooth 3.1 +EDR, with A2DP; Wi-Fi 802.11a/b/g/n, Wi-Fi hotspot, Wi-Fi 
Direct; USB 2.0 via Micro-USB, USB On-the-go; 3.5 mm audio jack, NFC, HDMI",LED-backlit LCD with Sony Bravia Engine
Smartphone,Sony,Xperia Z,2/1/13,"4.1, upgradeable to 4.2.2",Full HD 1920x1080,5 in ,130 mm,Snapdragon S4 Pro APQ8064,2048,16,Yes,13.1,2.2,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/1900 MHz
   - UMTS/â€‹HSPA 850/â€‹900/â€‹1700/â€‹1900/â€‹2100 MHz
   - LTE 800/â€‹850/â€‹900/â€‹1800/â€‹2100/â€‹2600 MHz","Bluetooth 4.0 +EDR, with A2DP; Wi-Fi 802.11a/b/g/n, Wi-Fi hotspot, Wi-Fi 
Direct; USB 2.0 via Micro-USB, USB On-the-go; 3.5 mm audio jack, NFC, HDMI","LED-backlit LCD with Sony Bravia Engine 2, IP57 certified - dust and water 
resistant, Waterproof up to 1 meter and 30 minutes"
Smartphone,Sony,Xperia ZL,3/1/13,"4.1, upgradeable to 4.2.2",Full HD 1920x1080,5 in ,130 mm,Snapdragon S4 Pro APQ8064,2048,16,Yes,13.1,2.2,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/1900 MHz
   - UMTS/â€‹HSPA 850/â€‹900/â€‹1700/â€‹1900/â€‹2100 MHz
   - LTE 800/â€‹850/â€‹900/â€‹1800/â€‹2100/â€‹2600 MHz","Bluetooth 4.0 +EDR, with A2DP; Wi-Fi 802.11a/b/g/n, Wi-Fi hotspot, Wi-Fi 
Direct; USB 2.0 via Micro-USB, USB On-the-go; 3.5 mm audio jack, NFC, HDMI",LED-backlit LCD with Sony Bravia Engine 2
Smartphone,Sony,Xperia ZR,6/1/13,"4.1, upgradeable to 4.2.2",1280x720 HD,4.55 in ,116 mm,Snapdragon S4 Pro APQ8064,2048,8,Yes,13.1,0.3,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/1900 MHz
   - UMTS/â€‹HSPA 850/â€‹900/â€‹1700/â€‹1900/â€‹2100 MHz
   - LTE 800/â€‹850/â€‹900/â€‹1800/â€‹2100/â€‹2600 MHz","Bluetooth 4.0 +EDR, with A2DP; Wi-Fi 802.11a/b/g/n, Wi-Fi hotspot, Wi-Fi 
Direct; USB 2.0 via Micro-USB, USB On-the-go; 3.5 mm audio jack, NFC, HDMI",LED-backlit LCD with Sony Bravia Engine 2
Smartphone,Sony,Xperia Z Ultra,7/1/13,"4.1, upgradeable to 4.2.2",1920x1080 HD,6.4 in ,160 mm,Snapdragon 800 MSM8974,2048,16,Yes,8,2.2,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/1900 MHz
   - UMTS/â€‹HSPA 850/â€‹900/â€‹1700/â€‹1900/â€‹2100 MHz
   - LTE 700/â€‹800/â€‹850/â€‹900/â€‹1700/â€‹1800/â€‹1900/â€‹2100/â€‹2600 MHz","Bluetooth 4.0 +EDR, with A2DP; Wi-Fi 802.11a/b/g/n/ac, Wi-Fi hotspot, Wi-Fi 
Direct; USB 2.0 via Micro-USB, USB On-the-go; 3.5 mm audio jack, NFC, HDMI",LED-backlit LCD with Sony Bravia Engine 2
Smartphone,Sony,Xperia Z1,7/1/13,4.2.2,1920x1080 HD,5.0 in ,130 mm,Snapdragon 800,2048,16,Yes,20.7,2.2,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/1900 MHz
   - UMTS/â€‹HSPA 850/â€‹900/â€‹1700/â€‹1900/â€‹2100 MHz
   - LTE 700/â€‹800/â€‹850/â€‹900/â€‹1700/â€‹1800/â€‹1900/â€‹2100/â€‹2600 MHz","Bluetooth 4.0 +EDR, with A2DP; Wi-Fi 802.11a/b/g/n/ac, Wi-Fi hotspot, Wi-Fi 
Direct; USB 2.0 via Micro-USB, USB On-the-go; 3.5 mm audio jack, NFC, HDMI",Triluminous LED-backlit LCD display
Smartphone,Sony,Xperia SP,4/1/13,"4.1, planned upgrade to 4.3",HD 1280x720,4.6 in ,120 mm,Snapdragon S4 Pro MSM8960T,1024,8,Yes,8,0.3,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/1900 MHz
   - UMTS/â€‹HSPA 850/â€‹900/â€‹1700/â€‹1900/â€‹2100 MHz
   - LTE 800/â€‹850/â€‹900/â€‹1700/â€‹1800/â€‹1900/â€‹2100/â€‹2600 MHz","Bluetooth 4.0 +EDR, with A2DP; Wi-Fi 802.11a/b/g/n, Wi-Fi hotspot, Wi-Fi 
Direct; USB 2.0 via Micro-USB, USB On-the-go; 3.5 mm audio jack, NFC, HDMI",LED-backlit LCD with Sony Bravia Engine 2
Smartphone,Sony,Xperia L,4/1/13,4.1.2,854x480 FWVGA,4.3 in ,110 mm,Snapdragon S4 Plus MSM8230,1024,8,Yes,8,0.3,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/1900 MHz
   - UMTS/â€‹HSPA 850/â€‹900/â€‹1700/â€‹1900/â€‹2100 MHz","Bluetooth 4.0 +EDR, with A2DP; Wi-Fi 802.11a/b/g/n, Wi-Fi hotspot, Wi-Fi 
Direct; USB 2.0 via Micro-USB; 3.5 mm audio jack, NFC",LED-backlit LCD
Smartphone,Sony,Xperia M,8/1/13,4.1.2,854x480 FWVGA,4.0 in ,100 mm,Snapdragon S4 Plus MSM8227,1024,4,Yes,5,0.3,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/1900 MHz
   - UMTS/â€‹HSPA 850/â€‹900/â€‹1700/â€‹1900/â€‹2100 MHz","Bluetooth 4.0 +EDR, with A2DP; Wi-Fi 802.11a/b/g/n, Wi-Fi hotspot, Wi-Fi 
Direct; USB 2.0 via Micro-USB; 3.5 mm audio jack, NFC",LED-backlit LCD
Smartphone,Sony Ericsson,Xperia Pro,10/1/11,"2.3 with Timescape UI, update to 4.0",854x480 FWVGA,3.7 in ,94 mm,Snapdragon S2 MSM8255,512,2,Yes,8,0.3,"GSM 850/â€‹900/â€‹1800/â€‹1900 MHz;
HSDPA 850/â€‹1900/â€‹2100 MHz at 7.2 Mbit/s","Wi-Fi 802.11b/g/n with hotspot, Bluetooth v2.1 with A2DP, Micro-USB v2.0, 
3.5 mm audio jack, Micro HDMI, A-GPS",TFT
Smartphone,Sony Ericsson,Xperia X10 Mini,2/1/10,"1.6, 2.1",320x240 QVGA,2.55 in ,65 mm,Snapdragon S1 MSM7227,,,,5,,"GSM 850/900, 1800/1900 MHz
HSDPA 900/2100 MHz
HSDPA 850/1900/â€‹2100 MHz
at 7.2 Mbit/s",,"16M-color TFT; Built-in battery, Sony Ericsson UI (blue), 4 homescreen 
corners, Timescape UI, SE Player/â€‹Gallery/â€‹Phonebook."
Smartphone,Sony Ericsson,Xperia arc,3/1/11,"2.3 with Timescape UI, update to 4.0",854x480 FWVGA,4.2 in ,110 mm,Snapdragon S2 MSM8255,512,1,,8.1,,"GSM 850/900, 1800/1900 MHz; HSPA 900/2100 MHz","Wi-Fi 802.11b/g/n with hotspot, Bluetooth v2.1 with A2DP, USB 2.0 via 
Micro-USB, 3.5 mm audio jack, Micro HDMI, A-GPS","LED backlit LCD multi-touch capacitive touchscreen with Sony BRAVIA Mobile 
Engine"
Smartphone,Sony Ericsson,Xperia neo,3/1/11,"2.3 with Timescape UI, update to 4.0",854x480 FWVGA,3.7 in ,94 mm,Snapdragon S2 MSM8255,512,1,Yes,8.1,1.3,"GSM 850/900, 1800/1900 MHz; HSPA 900/2100 MHz","Wi-Fi 802.11b/g/n and hotspot, Bluetooth v2.1 with A2DP, USB 2.0 via 
Micro-USB, 3.5 mm audio jack, Micro HDMI, A-GPS","LED backlit LCD multi-touch capacitive touchscreen with Sony BRAVIA Mobile 
Engine, there is now a neo v version out"
Smartphone,Sony Ericsson,Live with Walkman,9/1/11,"2.3 with Timescape UI, update to 4.0",480x320 HVGA,3.2 in ,81 mm,Snapdragon S2 MSM8255,512,,,5,1.3,"*GSM* 850/900, 1800/1900 MHz;
*HSPA* 900/â€‹1700/â€‹2100 MHz (WT19i);
850/â€‹1900/2100 MHz(WT19a)","Wi-Fi 802.11b/g/n and hotspot, Bluetooth v2.1 with A2DP, Micro-USB v2.0, 
3.5 mm audio jack, A-GPS","LED backlit LCD multi-touch capacitive touchscreen, Stereo speakers with 
Sony xLOUD, digital compass, 4 homescreen corners"
Smartphone,Sony Ericsson,Xperia Play,3/1/11,2.3 with Timescape UI,854x480 FWVGA,4.0 in ,100 mm,Snapdragon S2 MSM8255,512,1,Yes,5.1,0.3,"GSM 850/900, 1800/1900 MHz; HSPA 900/2100 MHz","Wi-Fi 802.11b/g/n, Wi-Fi hotspot; Bluetooth v2.1 with A2DP, USB 2.0 via 
Micro-USB, 3.5 mm audio jack, A-GPS","LED backlit LCD multi-touch capacitive touchscreen, PlayStation Suite"
Smartphone,Sony Ericsson,Xperia ray,9/1/11,"2.3 with Timescape UI, update to 4.0",854x480 FWVGA,3.3 in ,84 mm,Snapdragon S2 MSM8255,512,1,,8.1,,"GSM 850/900, 1800/1900 MHz; HSPA 900/2100 MHz","Wi-Fi 802.11b/g/n, Wi-Fi hotspot; Bluetooth v2.1 with A2DP; USB 2.0 via 
Micro-USB, 3.5 mm audio jack; A-GPS","LED backlit LCD multi-touch capacitive touchscreen with Sony BRAVIA Mobile 
Engine"
Smartphone,Sony Ericsson,Xperia acro SO-02C,7/9/11,2.3,854x480 FWVGA,4.2 in ,110 mm,Snapdragon S2 MSM8255,512,,,8.1,,"UMTS 800 (Band VI), 850 (Band V), 2100 (Band I)[40] - Up to 14 Mbit/s 
(download), 5.7 Mbit/s (upload)","Wi-Fi (IEEE 802.11b/g/n), Bluetooth 2.1+EDR, GPS, IrDA, NFC/FeliCa","LCD, Timescape widgets"
Smartphone,Sony Ericsson,Xperia acro IS11S,6/24/11,2.3,854x480 FWVGA,4.2 in ,110 mm,Snapdragon S2 MSM8255,512,,,8.1,,"CDMA2000 BC0/3/6; GSM 850/900, 1800/1900 MHz[42] - Up to 9.2 Mbit/s 
(download), 5.5 Mbit/s (upload)","Wi-Fi (IEEE 802.11b/g/n), Bluetooth 2.1+EDR, GPS, IrDA, NFC/FeliCa","LCD, Timescape widgets"
Smartphone,Sony Ericsson,Xperia X10 Mini Pro,5/24/10,"1.6, 2.1",320x240 QVGA,2.55 in ,65 mm,Snapdragon S1 MSM7227,256,0.25,,5,,,,"TFT, Timescape with Rachael UI, proximity and ambient lighting sensors"
Smartphone,Sony Ericsson,Xperia X10,3/22/10,"1.6, 2.1, 2.3",854x480 FWVGA,4.0 in ,100 mm,Snapdragon S1 QSD8250,384,1,,8,,"- GSM 850/900, 1800/1900 MHz
   - X10i: HSDPA 900/â€‹1700/â€‹2100 MHz
   - X10a: HSDPA 850/â€‹1900/â€‹2100 MHz","Bluetooth v2.1 with A2DP, Wi-Fi 802.11b/g, Micro-USB 2.0, DLNA","TFT, Smartphone with Rachael UI[44][45][46]"
Smartphone,Sony Ericsson,Xperia X8,9/1/10,"1.6, 2.1",480x320 HVGA,3.0 in ,76 mm,Snapdragon S1 MSM7227,168,0.12,,3.2,,GSM 850 900 1800 1900 MHz; HSDPA 900 1900 2100 MHz,"Bluetooth v2.1 with A2DP, Wi-Fi 802.11b/g, Micro-USB 2.0",
Smartphone,Spice,Spice stellar nhance mi-435,1/1/13,4,800x480 WVGA,4.0 in ,100 mm,Snapdragon S4 MSM8225,512,2,Yes up to 64 GB class 10,8,1.3,"GSM 900 1900, HSDPA 2100","Bluetooth v3.1 with A2DP, Micro-USB 2.0, Wi-Fi 802.11b/g/n with hotspot, 
A-GPS","1080p HD video play, secured with a 6 month subscription to NQ Mobile 
Security"
Smartphone,"Alcatel
(TCL Corporation)",Alcatel One Touch 980,10/1/10,2.1,320x240 QVGA,3.2 in ,81 mm,Snapdragon S1 MSM7227,,,,2,,,,
Smartphone,"Alcatel
(TCL Corporation)",Alcatel One Touch 985,3/1/12,2.3.6,,3.5 in ,89 mm,MediaTek MT6573,,,,0.3,3.15,"Quad-band GSM (850/â€‹900/â€‹1800/â€‹1900 MHz)
UMTS 900/2100 MHz","Wi-Fi, Bluetooth 3.0 A2DP",Also known as Telenor One Touch C
Smartphone,"Alcatel
(TCL Corporation)",Alcatel One Touch 990,2/1/11,2.2,,3.5 in ,89 mm,,,,,,5,"Quad-band GSM (850/â€‹900/â€‹1800/â€‹1900 MHz)
UMTS 900/2100 MHz","Wi-Fi, Bluetooth 2.1 A2DP",Also known as Telenor One Touch
Smartphone,"Alcatel
(TCL Corporation)",Alcatel One Touch 995,2/1/12,2.3 (upgradeable to 4.0),,4.3 in ,110 mm,Snapdragon MSM8255T,,,,0.3,5,"Quad-band GSM (850/â€‹900/â€‹1800/â€‹1900 MHz)
UMTS 900/2100 MHz","Wi-Fi, Bluetooth 3.0 A2DP",Also known as Telenor One Touch S
Smartphone,"Alcatel
(TCL Corporation)",One Touch 918[47],1/1/11,2.3,320x240 QVGA,2.8 in ,71 mm,,,,,3.2,,"Quad-band GSM (850/â€‹900/â€‹1800/â€‹1900 MHz)
UMTS 900/2100","Wi-Fi, Bluetooth 3.0 A2DP",TFT 262k colour display Capacitive touch
Smartphone,Bluelans Communication,Sciphone N19,11/1/09,1.5,320x240 QVGA,2.8 in ,71 mm,,128,0.12,,2,,,,
Smartphone,Bluelans Communication,SciPhone N21,11/1/09,1.6,320x240 QVGA,3.0 in ,76 mm,Marvell PXA310 624,128,0.25,,5,,,,"Like the DSTL1, it is a rebranded Yuhua Tel X2[48]"
Smartphone,Cherry Mobile,Magnum HD,10/11/10,2.2,800x480 WVGA,4.1 in ,100 mm,1000 Qualcomm Snapdragon,512,2,,5,,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/â€‹1900 MHz
   - HSDPA","- Wi-Fi 802.11b/g
   - Bluetooth 2.1 +EDR, with A2DP stereo
   - FM tuner","One of first Android phones of Cherry Mobile, and of Philippines, 3.5 mm 
stereo audio jack"
Smartphone,Cherry Mobile,Nova,10/11/10,2.1,480x320 HVGA,3.2 in ,81 mm,Snapdragon S1 MSM7227,256,2,,5,,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/â€‹1900 MHz
   - 850 1900 2100","- Wi-Fi 802.11b/g
   - Bluetooth 2.1 +EDR, with A2DP stereo
   - 3.5 mm stereo audio jack","One of first Android phones of Cherry Mobile, and of Philippines"
Smartphone,Cherry Mobile,Cosmo,3/21/11,2.2,480x320 HVGA,3.2 in ,81 mm,Snapdragon S1 MSM7227,256,0.5,,2,,"- GSM/â€‹GPRS/â€‹EDGE 900/â€‹1800 MHz
   - 3G: HSDPA 900/2100 MHz","- Wi-Fi 802.11b/g
   - Bluetooth 2.1 +EDR, with A2DP stereo
   - 3.5 mm stereo audio jack",
Smartphone,Cherry Mobile,Orbit,3/21/11,2.2,480x320 HVGA,3.2 in ,81 mm,528 Qualcomm CPU,256,0.5,,5,0.3,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/â€‹1900 MHz
   - HSDPA 850/â€‹1900/â€‹2100 MHz","- Wi-Fi (802.11b/g)
   - Bluetooth 2.1 +EDR, with A2DP stereo
   - 3.5 mm stereo audio jack",First dual-SIM Android phone from Cherry Mobile
Smartphone,Cherry Mobile,Flare,11/17/12,4,800x480 WVGA,4.0 in ,100 mm,Snapdragon S4 MSM8625,512,,,5,0.3,"- GSM/â€‹GPRS/â€‹EDGE 850/900, 1800/â€‹1900 MHz
   - 3G: HSDPA 900/1900/â€‹2100 MHz","- Wi-Fi (802.11 a/b/g/n)
   - Bluetooth 2.1 +EDR, with A2DP stereo
   - 3.5 mm stereo audio jack",capacitive touchscreen
Smartphone,CSL,CSL Spice[49],8/1/10,1.6,480x320 HVGA,3.2 in ,81 mm,,,,,,,,,"capacitive touchscreen, First Malaysian mobile phone to run Android"
Smartphone,Dell,Dell Aero,8/1/10,1.5,640x360 nHD,3.5 in ,89 mm,,,,,,5,,,
Smartphone,Dell,"Dell Venue,
(formerly Dell Thunder)",12/1/10,2.2,800x480 WVGA,3.5 in ,89 mm,,,,,,8,,,
Smartphone,Dell,"Dell Mini 3,
Mini 3i",11/1/09,1.5,640x360 nHD,3.5 in ,89 mm,,,,,,,,,"China Mobile uses OPhone OS, AT&T uses Android"
Smartphone,Garmin,Garminfone,6/9/10,1.6,480x320 HVGA,3.5 in ,89 mm,Snapdragon S1 MSM7227,256,4,Yes,3,,,"Wi-Fi, Bluetooth",
Smartphone,GeeksPhone,GeeksPhone One,2/1/10,1.6,400x240 WQVGA,3.2 in ,81 mm,528 MHz ARM11,,,,3.1,,,,
Smartphone,Huawei,"T-Mobile Pulse,
U8220
CHT8000",10/1/09,2.1[55],480x320 HVGA,3.5 in ,89 mm,528 MHz Qualcomm CPU,192,0.2,Yes,3.2,0.3,"GSM 850/â€‹900/â€‹1800/â€‹1900 MHz, HSDPA 900/2100 MHz, HSDPA 7.2 Mbit/s, HSUPA 
2 Mbit/s","Wi-Fi 802.11b/g, Bluetooth 2.0 (A2DP), Micro-USB 2.0, 2.5 mm analog audio 
jack",256K colors[56][57][58]
Smartphone,Huawei,Fusion II U8665,10/1/12,2.3,320x480 HVGA,3.5 in ,89 mm,"Qualcomm MSM7225A, 800 MHz",512,4,Yes,3.2,,WCDMA/â€‹HSDPA 850/1900/2100,"Bluetooth 2.1 + EDR W/A2DP (Supports: HFP, OPP, SDAP, AVRCP, GOEP and HSP); 
MicroUSB; 802.11 b/g/n",[59][60]
Smartphone,"Huawei, T-Mobile",T-Mobile Pulse Mini,4/1/11,2.1,320x240 QVGA,3.2 in ,81 mm,,,,,,,"GSM 850 900 1800 1900, UMTS 850 1900 2100",,TFT[62]
Smartphone,Huawei,EvoluciÃ_n UM840,1/1/10,2.1 User Upgradeable to 2.2,480x320 HVGA,3.2 in ,81 mm,"600 MHz, non GPU, AMRv6",256,0.25,Yes,3.2,0.3,"GSM/GPRS 850 1800 1900, 3.5G+ HDSPA 850 1900","Bluetooth 2.1 (A2DP), Wifi 802.11 b/g/n, GPSone, Micro-USB 2.0, 3.5 mm 
analog audio","Similar in look to U8500 with the add-on of Front Camera, LED flash for 
rear camera and FM radio, exclusive for the Venezuelan market with Movilnet 
ISP. One of the lowest priced Android phones."
Smartphone,Huawei,Ascend,10/27/10,2.1 (user can upgrade to 2.2),480x320 HVGA,3.5 in ,89 mm,,,,,,,EV-DO Rev.A,,
Smartphone,Huawei,"U8120 (Joy), Vodafone 845",4/1/10,2.1,320x240 QVGA,2.8 in ,71 mm,528 MHz Qualcomm MSM7225,256,0.5,Yes,3.2,,"3.5G HSDPA 7.2 Mbit/s, W-CDMA 900/2100, 2G: Quad-band GSM: 850/900, 
1800/1900 MHz","Wi-Fi 802.11b/g (54 Mbit/s), Bluetooth 2.0, GPS, Micro-USB 2.0 (480 
Mbit/s), 3.5 mm analog audio jack","resistive touchscreen, 1200 mAh removable Lithium-ion battery"
Smartphone,Huawei,U8650 Sonic,7/1/11,2.3,480x320 HVGA,3.5 in ,89 mm,600 MHz Qualcomm CPU,256,0.5,,3.2,,"3.5G HSDPA 7.2 Mbit/s, W-CDMA 900/2100 MHz; 2G: Quad-band GSM 
900/â€‹1800/â€‹1900 MHz","Wi-Fi 802.11b/g/n, Bluetooth 2.1, GPS, Micro-USB 2.0 (480 Mbit/s)","capacitive touchscreen, 256K colors, 1400 mAh removable Lithium-ion battery"
Smartphone,Huawei,Mercury (Alpha: Glory),10/1/11,2.3,854x480 FWVGA,4.0 in,100 mm,,"1400 MHz, GPU, chipset",,,,8,,"CDMA800 (BC0), CDMA1900 (BC14)",2
Smartphone,INQ,INQ Cloud Touch,4/1/11,2.2,480x320 HVGA,3.2 in ,81 mm,,,,,,,,,TFT[63]
Smartphone,i-Mobile,5800 3G,12/1/09,,640x360 nHD,3.2 in ,81 mm,,,,,,,,,
